Movie_Title,Release_Year,Rating,Movie_URL
28 Days,2000,3 Stars,../filmdata/1_films/28_days.html
Alien Fury Countdown To Invasion,2000,3 Stars,../filmdata/a_films/alien_fury_countdown_to_invasion.html
Arabian Nights,2000,3 Stars,../filmdata/a_films/arabian_nights.html
Battlefield Earth,2000,3 Stars,../filmdata/b_films/battlefield_earth.htm
Battle Royale,2000,3 Stars,../filmdata/b_films/battle_royale.htm
Bedazzled,2000,3 Stars,../filmdata/b_films/bedazzled.htm
Billie Elliott,2000,3 Stars,../filmdata/b_films/billie-elliot.htm
Bounce,2000,3 Stars,../filmdata/b_films/bounce.htm
Cast Away,2000,3 Stars,../filmdata/c_films/cast-away.htm
Cell,2000,3 Stars,../filmdata/c_films/cell.htm
Charlie's Angels,2000,3 Stars,../filmdata/c_films/charlies_angels.htm
Cherry Falls,2000,3 Stars,../filmdata/c_films/cherry_falls.html
Chicken Run,2000,3 Stars,../filmdata/c_films/chicken_run.htm
Chocolat,2000,3 Stars,../filmdata/c_films/chocolat.htm
Cinderella,2000,3 Stars,../filmdata/c_films/cinderalla_1.htm
Countdown To Invasion,2000,3 Stars,../filmdata/c_films/countdown_to_invasion.html
Coyote Ugly,2000,3 Stars,../filmdata/c_films/coyote_ugly.htm
Crouching TIger Hidden Dragon,2000,3 Stars,../filmdata/c_films/crouching_tiger_hidden_dragon.htm
Dracula 2000,2000,3 Stars,../filmdata/d_films/dracula_2000.html
Drowning Mona,2000,3 Stars,../filmdata/d_films/drowning_mona.html
Elektra,2000,3 Stars,../filmdata/e_films/elektra.htm
Erin Brokovich,2000,3 Stars,../filmdata/e_films/erin_brokovich.htm
Family Man,2000,3 Stars,../filmdata/f_films/family_man.htm
Flight Of Fancy,2000,3 Stars,../filmdata/f_films/flight_of_fancy.html
Frequency,2000,3 Stars,../filmdata/f_films/frequency.htm
Ginger Snaps,2000,3 Stars,../filmdata/g_films/ginger_snaps.html
Gladiator,2000,3 Stars,../filmdata/g_films/gladiator.htm
Greenfingers,2000,3 Stars,../filmdata/g_films/green_fingers.htm
High Fidelity,2000,3 Stars,../filmdata/h_films/high_fidelity.htm
Hollow Man,2000,3 Stars,../filmdata/h_films/hollow_man.htm
Isn't She Great,2000,3 Stars,../filmdata/i_films/isnt_she_great.htm
It Had To Be You,2000,3 Stars,../filmdata/i_films/it_had_to_be_you.html
Keeping The Faith,2000,3 Stars,../filmdata/k_films/keeping_the_faith.htm
Lady Audley's Secret,2000,3 Stars,../filmdata/l_films/lady_audleys_secret.html
Lake Placid,2000,3 Stars,../filmdata/l_films/lake_placid.htm
Life-Size,2000,3 Stars,../filmdata/l_films/life_size.htm
Little Nicky,2000,3 Stars,../filmdata/l_films/little_nicky.htm
Love And Murder,2000,3 Stars,../filmdata/l_films/love_and_murder.html
Maybe Baby,2000,3 Stars,../filmdata/m_films/maybe_baby.htm
Me Myself And Irene,2000,3 Stars,../filmdata/m_films/me_myself_and _irene.htm
Meet The Parents,2000,3 Stars,../filmdata/m_films/meet_the_parents.htm
Merlin The Return,2000,3 Stars,../filmdata/m_films/merlin_the_return.htm
Miss Congeniality,2000,3 Stars,../filmdata/m_films/miss_congeniality.htm
Mission Impossible 2,2000,3 Stars,../filmdata/m_films/mission_impossible_2.htm
Mission To Mars,2000,3 Stars,../filmdata/m_films/mission_to_mars.htm
Nautilus,2000,3 Stars,../filmdata/n_films/nautilus.html
Nurse Betty,2000,3 Stars,../filmdata/n_films/nurse_betty.htm
Once Upon A Christmas,2000,3 Stars,../filmdata/o_films/once_upon_a_christmas.html
Perfect Storm,2000,3 Stars,../filmdata/p_films/perfect_storm.html
Pitch Black,2000,3 Stars,../filmdata/p_films/pitch_black.htm
Prince And The Pauper,2000,3 Stars,../filmdata/p_films/prince_and_the_pauper.html
Red Planet,2000,3 Stars,../filmdata/r_films/red_planet.htm
Relative Values,2000,3 Stars,../filmdata/r_films/relative_values.htm
Replacements,2000,3 Stars,../filmdata/r_films/replacementss.html
Satan's School for Girls,2000,3 Stars,../filmdata/s_films/satans_school_for_girls.html
Scary Movie,2000,3 Stars,../filmdata/s_films/scary_movie.htm
"Scream
    3",2000,3 Stars,../filmdata/s_films/scream_3.htm
Shadow Of The Vampire,2000,3 Stars,../filmdata/s_films/shadow_of_the_vampire.htm
Snow Day,2000,3 Stars,../filmdata/s_films/snow_day.htm
Small Time Crooks,2000,3 Stars,../filmdata/s_films/small_time_crooks.htm
Space Cowboys,2000,3 Stars,../filmdata/s_films/space_cowboys.htm
Spiral Staircase,2000,3 Stars,../filmdata/s_films/spiral_staircase.html
Tadpole,2000,3 Stars,../filmdata/t_films/tadpole.html
Talented Mr Ripley,2000,3 Stars,../filmdata/t_films/talented_mr_ripley.htm
Titan AE,2000,3 Stars,../filmdata/t_films/titan_ae.html
Unbreakable,2000,3 Stars,../filmdata/u_films/unbreakable.html
Vertical Limit,2000,3 Stars,../filmdata/v_films/vertical_limit.htm
Virtual Nightmare,2000,3 Stars,../filmdata/v_films/virtual_nightmare.html
Weight Of Water,2000,3 Stars,../filmdata/w_films/weight_of_water.html
What Lies Beneath,2000,3 Stars,../filmdata/w_films/what_lies_beneath.htm
What Planet Are You From?,2000,3 Stars,../filmdata/w_films/what-planet-are-you-from.html
What Women Want,2000,3 Stars,../filmdata/w_films/what_women_want.htm
Whatever It Takes,2000,3 Stars,../filmdata/w_films/whatever_it_takes.html
Witchblade,2000,3 Stars,../filmdata/w_films/witchblade.html
X-Men,2000,3 Stars,../filmdata/x_films/xmen.htm
The Yards,2000,3 Stars,../filmdata/y_films/yards.htm
